,SBoxes,time_elapsed,generation_method,max_item,max_item_count,zero_items_count,nonlinearity,balancedness
0,"[0, 1, 2, 6, 4, 7, 5, 3]",0.00199461,PrescribedDDT,2,28,21,2,TRUE
1,"[0, 1, 2, 7, 4, 5, 3, 6]",0.000997066,PrescribedDDT,4,6,27,0,TRUE
2,"[0, 1, 2, 5, 4, 7, 3, 6]",0.000997305,PrescribedDDT,2,28,21,2,TRUE
3,"[0, 1, 2, 3, 4, 7, 5, 6]",0.000997543,PrescribedDDT,4,6,27,0,TRUE
4,"[0, 1, 2, 5, 4, 6, 3, 7]",0.00199461,PrescribedDDT,4,6,27,0,TRUE
5,"[0, 1, 2, 5, 4, 6, 7, 3]",0.000997543,PrescribedDDT,2,28,21,2,TRUE
6,"[0, 1, 2, 3, 4, 7, 5, 6]",0.000997305,PrescribedDDT,4,6,27,0,TRUE
7,"[0, 1, 2, 3, 4, 7, 5, 6]",0.001994371,PrescribedDDT,4,6,27,0,TRUE
8,"[0, 1, 2, 6, 4, 5, 7, 3]",0.000997543,PrescribedDDT,4,6,27,0,TRUE
9,"[0, 1, 2, 5, 4, 3, 7, 6]",0.000997305,PrescribedDDT,4,6,27,0,TRUE
10,"[0, 1, 2, 5, 4, 7, 6, 3]",0.000997305,PrescribedDDT,4,6,27,0,TRUE
11,"[0, 1, 2, 7, 4, 3, 6, 5]",0.000997543,PrescribedDDT,4,6,27,0,TRUE
12,"[0, 1, 2, 7, 4, 5, 3, 6]",0.000997305,PrescribedDDT,4,6,27,0,TRUE
13,"[0, 1, 2, 5, 4, 6, 3, 7]",0.001994371,PrescribedDDT,4,6,27,0,TRUE
14,"[0, 1, 2, 3, 4, 6, 7, 5]",0.000997543,PrescribedDDT,4,6,27,0,TRUE
15,"[0, 1, 2, 3, 4, 6, 7, 5]",0.000997305,PrescribedDDT,4,6,27,0,TRUE
16,"[0, 1, 2, 3, 4, 7, 5, 6]",0.00199461,PrescribedDDT,4,6,27,0,TRUE
17,"[0, 1, 2, 3, 4, 7, 5, 6]",0.000997305,PrescribedDDT,4,6,27,0,TRUE
18,"[0, 1, 2, 3, 4, 6, 7, 5]",0.00199461,PrescribedDDT,4,6,27,0,TRUE
19,"[0, 1, 2, 3, 4, 7, 5, 6]",0.00099802,PrescribedDDT,4,6,27,0,TRUE
20,"[0, 1, 2, 6, 4, 5, 7, 3]",0.00099659,PrescribedDDT,4,6,27,0,TRUE
21,"[0, 1, 2, 6, 4, 3, 5, 7]",0.000997543,PrescribedDDT,4,6,27,0,TRUE
22,"[0, 1, 2, 3, 4, 7, 5, 6]",0.000997305,PrescribedDDT,4,6,27,0,TRUE
23,"[0, 1, 2, 5, 4, 7, 6, 3]",0.001995087,PrescribedDDT,4,6,27,0,TRUE
24,"[0, 1, 2, 5, 4, 6, 3, 7]",0.000997066,PrescribedDDT,4,6,27,0,TRUE
25,"[0, 1, 2, 6, 4, 5, 7, 3]",0.000997305,PrescribedDDT,4,6,27,0,TRUE
26,"[0, 1, 2, 6, 4, 7, 3, 5]",0.000997066,PrescribedDDT,4,6,27,0,TRUE
27,"[0, 1, 2, 7, 4, 5, 3, 6]",0.000997305,PrescribedDDT,4,6,27,0,TRUE
28,"[0, 1, 2, 5, 4, 7, 6, 3]",0.000997543,PrescribedDDT,4,6,27,0,TRUE
29,"[0, 1, 2, 6, 4, 5, 7, 3]",0.000997305,PrescribedDDT,4,6,27,0,TRUE
30,"[0, 1, 2, 5, 4, 7, 3, 6]",0.000997305,PrescribedDDT,2,28,21,2,TRUE
31,"[0, 1, 2, 6, 4, 3, 7, 5]",0.000997543,PrescribedDDT,2,28,21,2,TRUE
32,"[0, 1, 2, 7, 4, 5, 3, 6]",0.00199461,PrescribedDDT,4,6,27,0,TRUE
33,"[0, 1, 2, 6, 4, 7, 3, 5]",0.000997066,PrescribedDDT,4,6,27,0,TRUE
34,"[0, 1, 2, 6, 4, 5, 7, 3]",0.00099802,PrescribedDDT,4,6,27,0,TRUE
35,"[0, 1, 2, 6, 4, 3, 7, 5]",0.000996828,PrescribedDDT,2,28,21,2,TRUE
36,"[0, 1, 2, 6, 4, 7, 5, 3]",0.00099802,PrescribedDDT,2,28,21,2,TRUE
37,"[0, 1, 2, 3, 4, 7, 5, 6]",0.001993895,PrescribedDDT,4,6,27,0,TRUE
38,"[0, 1, 2, 7, 4, 5, 3, 6]",0.000997305,PrescribedDDT,4,6,27,0,TRUE
39,"[0, 1, 2, 5, 4, 6, 3, 7]",0.000997305,PrescribedDDT,4,6,27,0,TRUE
40,"[0, 1, 2, 5, 4, 7, 6, 3]",0.000998259,PrescribedDDT,4,6,27,0,TRUE
41,"[0, 1, 2, 5, 4, 6, 3, 7]",0.00099659,PrescribedDDT,4,6,27,0,TRUE
42,"[0, 1, 2, 5, 4, 7, 6, 3]",0.000997305,PrescribedDDT,4,6,27,0,TRUE
43,"[0, 1, 2, 6, 4, 5, 7, 3]",0.000997066,PrescribedDDT,4,6,27,0,TRUE
44,"[0, 1, 2, 7, 4, 6, 5, 3]",0.000997543,PrescribedDDT,4,6,27,0,TRUE
45,"[0, 1, 2, 5, 4, 3, 7, 6]",0.00199461,PrescribedDDT,4,6,27,0,TRUE
46,"[0, 1, 2, 6, 4, 7, 5, 3]",0.000997782,PrescribedDDT,2,28,21,2,TRUE
47,"[0, 1, 2, 7, 4, 6, 3, 5]",0.000997543,PrescribedDDT,2,28,21,2,TRUE
48,"[0, 1, 2, 6, 4, 3, 7, 5]",0.00099659,PrescribedDDT,2,28,21,2,TRUE
49,"[0, 1, 2, 3, 4, 6, 7, 5]",0.00099802,PrescribedDDT,4,6,27,0,TRUE
50,"[0, 1, 2, 7, 4, 5, 3, 6]",0.001994133,PrescribedDDT,4,6,27,0,TRUE
51,"[0, 1, 2, 6, 4, 5, 7, 3]",0.000997543,PrescribedDDT,4,6,27,0,TRUE
52,"[0, 1, 2, 7, 4, 6, 3, 5]",0.000997305,PrescribedDDT,2,28,21,2,TRUE
53,"[0, 1, 2, 3, 4, 6, 7, 5]",0.001994371,PrescribedDDT,4,6,27,0,TRUE
54,"[0, 1, 2, 6, 4, 7, 5, 3]",0.000997305,PrescribedDDT,2,28,21,2,TRUE
55,"[0, 1, 2, 6, 4, 7, 5, 3]",0.000997543,PrescribedDDT,2,28,21,2,TRUE
56,"[0, 1, 2, 7, 4, 5, 3, 6]",0.000997305,PrescribedDDT,4,6,27,0,TRUE
57,"[0, 1, 2, 7, 4, 3, 6, 5]",0.000997305,PrescribedDDT,4,6,27,0,TRUE
58,"[0, 1, 2, 3, 4, 7, 5, 6]",0.001995325,PrescribedDDT,4,6,27,0,TRUE
59,"[0, 1, 2, 6, 4, 7, 3, 5]",0.000997066,PrescribedDDT,4,6,27,0,TRUE
60,"[0, 1, 2, 7, 4, 5, 3, 6]",0.000997066,PrescribedDDT,4,6,27,0,TRUE
61,"[0, 1, 2, 5, 4, 3, 7, 6]",0.000997066,PrescribedDDT,4,6,27,0,TRUE
62,"[0, 1, 2, 6, 4, 7, 3, 5]",0.000997305,PrescribedDDT,4,6,27,0,TRUE
63,"[0, 1, 2, 5, 4, 6, 3, 7]",0.001994848,PrescribedDDT,4,6,27,0,TRUE
64,"[0, 1, 2, 7, 4, 6, 5, 3]",0.000997305,PrescribedDDT,4,6,27,0,TRUE
65,"[0, 1, 2, 7, 4, 5, 3, 6]",0.000997066,PrescribedDDT,4,6,27,0,TRUE
