,SBoxes,time_elapsed,generation_method,max_item,max_item_count,zero_items_count,is_bijective,nonlinearity
0,"[2, 4, 8, 0, 5, 3, 13, 10, 9, 11, 7, 6, 12, 1, 15, 14]",0.014746904373168945,DDTConstruction,4,24,129,True,True
1,"[2, 9, 12, 13, 11, 14, 3, 6, 7, 5, 1, 15, 4, 10, 0, 8]",0.0161588191986084,DDTConstruction,4,18,123,True,True
2,"[1, 15, 8, 6, 11, 9, 0, 2, 5, 13, 3, 14, 7, 4, 10, 12]",0.04378795623779297,DDTConstruction,4,24,129,True,True
3,"[4, 3, 5, 7, 15, 12, 1, 13, 2, 11, 10, 6, 14, 0, 8, 9]",0.017590761184692383,DDTConstruction,4,18,123,True,True
4,"[2, 13, 7, 12, 15, 1, 14, 4, 5, 6, 3, 0, 11, 9, 8, 10]",0.08206701278686523,DDTConstruction,4,24,129,True,True
5,"[6, 1, 11, 12, 9, 4, 3, 5, 15, 10, 13, 2, 0, 14, 7, 8]",0.2403421401977539,DDTConstruction,4,24,129,True,True
6,"[1, 9, 14, 7, 6, 3, 13, 11, 0, 15, 5, 2, 8, 12, 10, 4]",0.0215303897857666,DDTConstruction,4,15,120,True,True
7,"[7, 1, 0, 10, 8, 11, 15, 13, 5, 9, 3, 12, 6, 14, 2, 4]",0.02037191390991211,DDTConstruction,4,18,123,True,True
8,"[13, 6, 0, 1, 7, 3, 11, 12, 15, 9, 2, 8, 14, 5, 10, 4]",0.01324772834777832,DDTConstruction,4,21,126,True,True
9,"[3, 8, 2, 6, 4, 12, 1, 14, 15, 7, 9, 11, 5, 10, 13, 0]",0.035958051681518555,DDTConstruction,4,21,126,True,True
