,SBoxes,time_elapsed,generation_method,max_item,max_item_count,zero_items_count,is_bijective,nonlinearity
0,"[10, 5, 14, 0, 4, 15, 12, 3, 8, 13, 1, 6, 11, 9, 2, 7]",0.0003077983856201172,RandomGeneration,8,1,136,True,True
1,"[2, 1, 7, 3, 5, 8, 9, 15, 11, 0, 13, 6, 14, 4, 10, 12]",0.0001957416534423828,RandomGeneration,4,18,123,True,True
2,"[12, 9, 15, 5, 10, 1, 14, 2, 4, 0, 11, 13, 7, 3, 8, 6]",0.0001666545867919922,RandomGeneration,6,2,124,True,True
3,"[6, 10, 12, 8, 9, 15, 13, 2, 0, 14, 11, 7, 1, 4, 3, 5]",0.00016260147094726562,RandomGeneration,4,24,129,True,True
4,"[2, 4, 7, 5, 9, 11, 13, 8, 14, 12, 0, 10, 3, 6, 15, 1]",0.000152587890625,RandomGeneration,8,1,136,True,True
5,"[10, 8, 14, 15, 13, 1, 12, 7, 2, 5, 11, 9, 3, 4, 0, 6]",0.0001544952392578125,RandomGeneration,4,21,126,True,True
6,"[1, 0, 13, 7, 8, 6, 9, 10, 5, 12, 2, 14, 15, 4, 3, 11]",0.00015616416931152344,RandomGeneration,6,1,122,True,True
7,"[11, 3, 5, 15, 0, 6, 12, 4, 10, 9, 14, 13, 1, 2, 7, 8]",0.0001742839813232422,RandomGeneration,8,1,136,True,True
8,"[3, 15, 8, 14, 5, 9, 10, 7, 13, 1, 12, 2, 6, 0, 4, 11]",0.0001614093780517578,RandomGeneration,6,6,138,True,True
9,"[7, 8, 4, 6, 2, 9, 11, 12, 14, 3, 15, 10, 1, 0, 5, 13]",0.00015425682067871094,RandomGeneration,6,2,130,True,True
