,SBoxes,time_elapsed,generation_method,max_item,max_item_count,zero_items_count
0,"[5, 6, 7, 4, 3, 1, 0, 2]",0.003767728805541992,PrescribedDDT,8,1,36
1,"[3, 4, 1, 0, 2, 5, 7, 6]",0.003550291061401367,PrescribedDDT,4,6,27
2,"[5, 6, 4, 3, 2, 7, 1, 0]",0.003518819808959961,PrescribedDDT,4,6,27
3,"[3, 2, 4, 6, 5, 0, 1, 7]",0.00353240966796875,PrescribedDDT,4,6,27
4,"[0, 4, 7, 6, 3, 5, 1, 2]",0.0036478042602539062,PrescribedDDT,4,6,27
5,"[7, 6, 5, 1, 3, 2, 0, 4]",0.0035822391510009766,PrescribedDDT,4,6,27
6,"[3, 0, 6, 2, 7, 4, 5, 1]",0.003577709197998047,PrescribedDDT,8,1,36
7,"[0, 1, 4, 3, 2, 6, 7, 5]",0.0035910606384277344,PrescribedDDT,2,28,21
8,"[4, 3, 5, 0, 2, 1, 7, 6]",0.0034759044647216797,PrescribedDDT,4,6,27
9,"[0, 5, 2, 6, 7, 3, 4, 1]",0.0035321712493896484,PrescribedDDT,8,1,36
10,"[1, 0, 2, 7, 3, 5, 4, 6]",0.003545999526977539,PrescribedDDT,4,6,27
11,"[1, 3, 4, 2, 5, 0, 6, 7]",0.0035004615783691406,PrescribedDDT,2,28,21
12,"[3, 1, 0, 6, 2, 7, 5, 4]",0.0036704540252685547,PrescribedDDT,4,6,27
13,"[7, 2, 5, 3, 1, 0, 6, 4]",0.0035257339477539062,PrescribedDDT,2,28,21
14,"[0, 6, 7, 3, 4, 1, 2, 5]",0.003579854965209961,PrescribedDDT,4,6,27
15,"[2, 6, 5, 1, 4, 0, 7, 3]",0.003519296646118164,PrescribedDDT,8,1,36
16,"[4, 5, 3, 7, 2, 6, 1, 0]",0.003454923629760742,PrescribedDDT,4,6,27
17,"[5, 2, 4, 1, 6, 0, 7, 3]",0.0035805702209472656,PrescribedDDT,4,6,27
18,"[4, 5, 3, 1, 2, 0, 6, 7]",0.0035142898559570312,PrescribedDDT,8,1,36
19,"[3, 6, 7, 1, 5, 4, 2, 0]",0.0035524368286132812,PrescribedDDT,4,6,27
20,"[1, 2, 0, 3, 6, 4, 7, 5]",0.0035271644592285156,PrescribedDDT,8,1,36
21,"[4, 6, 3, 5, 2, 7, 0, 1]",0.003631591796875,PrescribedDDT,2,28,21
22,"[5, 6, 0, 2, 7, 4, 3, 1]",0.003526449203491211,PrescribedDDT,8,1,36
23,"[2, 5, 3, 1, 4, 7, 0, 6]",0.0036039352416992188,PrescribedDDT,4,6,27
24,"[7, 5, 3, 6, 2, 0, 4, 1]",0.0034978389739990234,PrescribedDDT,4,6,27
25,"[7, 0, 1, 2, 3, 4, 6, 5]",0.0036008358001708984,PrescribedDDT,4,6,27
26,"[0, 4, 5, 1, 2, 3, 7, 6]",0.0035483837127685547,PrescribedDDT,8,1,36
27,"[7, 6, 0, 2, 1, 3, 4, 5]",0.0035104751586914062,PrescribedDDT,4,6,27
28,"[1, 5, 7, 0, 3, 2, 4, 6]",0.0035965442657470703,PrescribedDDT,2,28,21
29,"[3, 0, 2, 1, 6, 5, 7, 4]",0.003552675247192383,PrescribedDDT,8,7,42
30,"[6, 1, 7, 0, 3, 4, 2, 5]",0.003563404083251953,PrescribedDDT,8,7,42
31,"[7, 1, 4, 5, 2, 6, 0, 3]",0.003547191619873047,PrescribedDDT,2,28,21
32,"[5, 7, 1, 4, 2, 6, 3, 0]",0.0035648345947265625,PrescribedDDT,2,28,21
33,"[2, 3, 6, 7, 4, 0, 1, 5]",0.0035347938537597656,PrescribedDDT,4,6,27
34,"[2, 7, 4, 0, 1, 6, 5, 3]",0.0035767555236816406,PrescribedDDT,4,6,27
35,"[1, 6, 0, 3, 5, 2, 4, 7]",0.0034859180450439453,PrescribedDDT,8,1,36
36,"[0, 6, 7, 5, 4, 3, 2, 1]",0.0034918785095214844,PrescribedDDT,4,6,27
37,"[6, 5, 0, 7, 3, 1, 4, 2]",0.003590106964111328,PrescribedDDT,4,6,27
38,"[2, 3, 0, 5, 1, 7, 4, 6]",0.0034894943237304688,PrescribedDDT,4,6,27
39,"[2, 7, 6, 4, 1, 3, 0, 5]",0.0035741329193115234,PrescribedDDT,4,6,27
40,"[5, 2, 4, 3, 0, 6, 1, 7]",0.0035512447357177734,PrescribedDDT,8,1,36
41,"[5, 3, 4, 2, 6, 0, 7, 1]",0.003549337387084961,PrescribedDDT,8,7,42
42,"[7, 4, 2, 6, 1, 5, 3, 0]",0.003506898880004883,PrescribedDDT,8,1,36
43,"[4, 2, 1, 0, 6, 7, 3, 5]",0.0034432411193847656,PrescribedDDT,8,1,36
44,"[3, 4, 6, 7, 1, 2, 0, 5]",0.003605365753173828,PrescribedDDT,4,6,27
45,"[0, 3, 7, 1, 2, 5, 4, 6]",0.0035164356231689453,PrescribedDDT,4,6,27
46,"[1, 3, 4, 7, 5, 0, 2, 6]",0.003550291061401367,PrescribedDDT,2,28,21
47,"[6, 1, 2, 3, 5, 0, 7, 4]",0.003571033477783203,PrescribedDDT,4,6,27
48,"[1, 6, 0, 5, 3, 7, 4, 2]",0.003644227981567383,PrescribedDDT,2,28,21
49,"[7, 4, 5, 0, 6, 1, 2, 3]",0.003528118133544922,PrescribedDDT,4,6,27
