,SBoxes,time_elapsed,generation_method,max_item,max_item_count,zero_items_count
0,"[12, 6, 13, 15, 14, 2, 10, 1, 5, 4, 7, 9, 8, 3, 0, 11]",0.0,RandomGeneration,8,1,138
1,"[8, 3, 9, 12, 14, 10, 4, 6, 7, 2, 1, 5, 0, 11, 13, 15]",0.0,RandomGeneration,6,2,127
2,"[0, 8, 3, 12, 10, 15, 9, 13, 5, 11, 14, 4, 6, 1, 2, 7]",0.0,RandomGeneration,6,1,125
3,"[6, 1, 4, 13, 8, 10, 0, 12, 9, 7, 2, 5, 11, 15, 14, 3]",0.000990152359008789,RandomGeneration,6,2,127
4,"[2, 15, 5, 13, 12, 8, 6, 4, 11, 3, 10, 1, 0, 7, 14, 9]",0.0,RandomGeneration,6,6,135
5,"[2, 10, 14, 4, 12, 11, 0, 9, 3, 13, 8, 7, 6, 5, 1, 15]",0.000978708267211914,RandomGeneration,10,1,140
6,"[9, 4, 7, 13, 5, 3, 14, 8, 6, 12, 10, 15, 0, 11, 1, 2]",0.0,RandomGeneration,6,2,127
7,"[2, 10, 11, 6, 15, 3, 5, 12, 9, 7, 4, 13, 1, 8, 0, 14]",0.0010001659393310547,RandomGeneration,6,4,131
8,"[9, 0, 2, 14, 1, 5, 8, 12, 10, 13, 7, 3, 11, 4, 15, 6]",0.0,RandomGeneration,8,2,143
9,"[6, 15, 0, 2, 4, 1, 13, 10, 9, 3, 7, 14, 12, 5, 11, 8]",0.0009999275207519531,RandomGeneration,8,3,141
10,"[13, 14, 9, 7, 12, 3, 6, 0, 15, 10, 5, 2, 8, 4, 1, 11]",0.0,RandomGeneration,6,2,130
11,"[2, 5, 12, 3, 14, 1, 15, 4, 10, 0, 9, 8, 11, 13, 6, 7]",0.0009999275207519531,RandomGeneration,6,3,129
12,"[15, 14, 11, 10, 5, 9, 8, 2, 4, 7, 6, 13, 3, 12, 0, 1]",0.0,RandomGeneration,6,1,122
13,"[0, 10, 14, 1, 8, 3, 9, 5, 2, 4, 12, 11, 7, 13, 6, 15]",0.0,RandomGeneration,6,3,132
